account_id,match_id,team,hero_id,kills,deaths,assists,denies,net_worth
72568913,38610024,Team0,11,6,1,20,0,53091
84804528,38610024,Team0,7,2,5,9,7,38902
1881366986,38610024,Team0,15,0,11,9,2,30970
313058076,38610147,Team0,7,3,6,15,6,32899
119358588,38610147,Team0,18,7,4,16,3,37031
919161010,38610147,Team1,31,4,5,7,2,29938
385202207,38610147,Team1,19,4,12,7,0,22518
1022438730,38610147,Team1,1,7,5,2,6,28706
888853854,38610147,Team0,17,17,3,6,3,41522
246618863,38610147,Team0,12,1,5,16,7,28306
1189626894,38610147,Team0,10,4,4,13,1,32896
98515926,38610147,Team1,8,3,6,2,14,24993
321601241,38610147,Team1,52,6,8,8,1,26023
370318526,38610147,Team1,6,1,6,12,3,25447
131256035,38610147,Team0,13,10,3,18,4,34722
121317057,38610331,Team0,18,4,11,13,0,35120
1551899522,38610331,Team1,15,6,12,15,2,35537
104197251,38610331,Team1,31,9,3,22,4,41273
97417380,38610331,Team1,13,10,6,15,0,46966
380394699,38610331,Team0,50,6,7,12,3,39306
314873097,38610331,Team0,7,2,11,11,0,45010
301594065,38610331,Team0,4,6,9,20,2,37211
1034734847,38610331,Team1,2,10,7,18,1,42622
119338329,38610331,Team0,1,9,10,8,2,39180
157085743,38610331,Team0,19,11,6,7,1,38257
230517301,38610331,Team1,14,12,6,16,1,42868
299142801,38610331,Team1,25,7,4,17,1,50597
14091677,38610341,Team1,1,3,11,4,6,23334
245020207,38610341,Team1,19,2,10,3,3,25017
1855172408,38610341,Team0,10,20,2,8,4,48576
1395432137,38610341,Team0,14,10,3,22,0,32188
148361928,38610341,Team1,11,1,7,6,7,24283
102307328,38610341,Team0,31,8,1,16,3,33065
1854275053,38610341,Team1,2,3,10,12,1,26247
349508451,38610341,Team0,58,9,6,4,2,32354
1742073423,38610341,Team1,3,6,9,4,1,23881
348408772,38610341,Team0,6,4,4,16,1,31067
1807594332,38610341,Team1,20,2,11,4,1,28912
108631241,38610341,Team0,13,6,2,18,3,31042
313097305,38610603,Team1,2,5,5,17,0,28400
846383258,38610603,Team0,4,4,11,10,0,24671
205071683,38610603,Team1,58,5,7,15,9,30564
1195896640,38610603,Team0,7,2,5,5,6,23891
110088215,38610603,Team1,1,10,6,17,0,30550
1423197814,38610603,Team0,27,8,9,5,1,23303
319104416,38610603,Team0,12,3,8,7,4,24391
911856667,38610603,Team0,16,4,7,8,0,24161
288422074,38610603,Team0,3,11,5,8,0,28554
284349366,38610603,Team1,31,11,3,14,5,32959
323897568,38610603,Team1,13,9,4,13,2,30720
80478980,38610603,Team1,6,5,7,15,3,27487
1477660209,38610664,Team0,11,9,4,14,3,34381
108601750,38610664,Team0,3,9,1,16,3,36364
1863208191,38610664,Team1,1,8,8,5,1,35742
238783017,38610664,Team0,27,3,6,20,1,27996
1007596529,38610664,Team0,7,10,2,11,2,35142
193110892,38610664,Team0,31,8,6,11,2,30663
1110282931,38610664,Team1,12,1,6,15,2,25255
1134370155,38610664,Team1,2,2,8,2,2,24285
1268663520,38610664,Team1,4,6,7,9,1,25738
1210056867,38610664,Team0,14,1,7,13,0,27632
81902929,38610664,Team1,50,6,4,8,2,24980
1845062151,38610664,Team1,18,3,7,3,2,25452
969975089,38610819,Team1,3,6,6,10,6,32056
1193943742,38610819,Team0,20,1,12,6,2,29649
253738377,38610819,Team1,18,3,8,11,1,33245
1773696253,38610819,Team0,7,5,4,2,6,37541
360864311,38610819,Team0,19,10,6,6,1,30967
78763112,38610819,Team1,50,7,5,10,6,37226
156468943,38610819,Team0,14,7,3,12,2,34682
1482647580,38610819,Team1,1,6,4,6,0,33141
1132179639,38610819,Team1,12,12,5,6,0,46879
903206123,38610819,Team0,6,2,11,9,1,30128
1731846884,38610819,Team1,58,9,8,9,8,34850
293506436,38610819,Team0,4,10,7,8,3,38890
288550376,38610979,Team0,27,5,4,6,5,34034
1207703560,38610979,Team1,18,7,6,10,2,29150
297273074,38610979,Team0,2,0,6,4,3,33205
176077109,38610979,Team0,15,0,10,6,2,28311
187709046,38610979,Team1,17,5,2,14,0,33335
329783594,38610979,Team0,12,3,6,8,2,27787
337523871,38610979,Team0,6,3,4,5,5,29308
117629808,38610979,Team1,14,3,3,18,5,33683
1591197043,38610979,Team1,25,6,2,3,3,46290
